,company_location,count,Latitude,Longitude
74,US,12975,39.7837304,-100.445882
27,GB,655,54.7023545,-3.2765753
11,CA,392,61.0666922,-107.991707
24,ES,127,39.3260685,-4.8379791
18,DE,98,51.1638175,10.4478313
26,FR,61,46.603354,1.8883335
38,IN,59,22.3511148,78.6677428
6,AU,53,-24.7761086,134.755
63,PT,28,39.6621648,-8.1353519
55,NL,28,52.24764975,5.541246849406163
9,BR,21,-10.3333333,-53.2
16,CO,16,4.099917,-72.9088133
46,LT,16,55.3500003,23.7499997
52,MX,15,23.6585116,-102.0077097
76,ZA,15,-28.8166236,24.991639
61,PL,14,52.215933,19.134422
41,IT,14,42.6384261,12.674297
30,GR,14,38.9953683,21.9877132
48,LV,14,56.8406494,24.7537645
23,EG,13,26.2540493,29.2675469
36,IE,12,52.865196,-7.9794599
22,EE,12,58.7523778,25.3319078
73,UA,10,49.4871968,31.2718321
5,AT,10,47.59397,14.12456
54,NG,9,9.6000359,7.9999721
13,CH,9,46.7985624,8.2319736
42,JP,8,36.5748441,139.2394179
66,RU,7,64.6863136,97.7453061
3,AR,7,-34.9964963,-64.9672817
57,NZ,6,-41.5000831,172.8344077
72,TR,6,38.9597594,34.9249653
59,PH,6,12.7503486,122.7312101
70,SI,6,46.1199444,14.8153333
69,SG,5,1.357107,103.8194992
1,AE,5,24.0002488,53.9994829
19,DK,5,55.670249,10.3333283
8,BE,4,50.6402809,4.6667145
75,VN,4,15.9266657,107.9650855
62,PR,4,50.0874654,14.4212535
65,RO,4,45.9852129,24.6859225
25,FI,4,63.2467777,25.9209164
34,HU,4,47.1817585,19.5060937
50,MT,3,35.8885993,14.4476911
47,LU,3,49.8158683,6.1296751
67,SA,3,25.6242618,42.3528328
17,CZ,3,49.7439047,15.3381061
4,AS,3,-14.297124,-170.7131481
28,GH,3,8.0300284,-1.0800271
71,TH,3,14.8971921,100.83273
68,SE,3,59.6749712,14.5208584
33,HR,3,45.3658443,15.6575209
37,IL,3,30.8124247,34.8594762
60,PK,2,30.3308401,71.247499
56,NO,2,61.1529386,8.7876653
35,ID,2,-2.4833826,117.8902853
12,CF,2,7.0323598,19.9981227
45,LB,2,33.8750629,35.843409
44,KR,2,36.638392,127.6961188
43,KE,2,1.4419683,38.4313975
7,BA,2,44.3053476,17.5961467
2,AM,1,40.7696272,44.6736646
64,QA,1,25.3336984,51.2295295
15,CN,1,35.000074,104.999927
58,OM,1,21.0000287,57.0036901
53,MY,1,4.5693754,102.2656823
51,MU,1,-20.2759451,57.5703566
49,MD,1,47.2879608,28.5670941
14,CL,1,-31.7613365,-71.3187697
40,IR,1,32.6475314,54.5643516
39,IQ,1,33.0955793,44.1749775
32,HN,1,15.2572432,-86.0755145
31,HK,1,22.350627,114.1849161
29,GI,1,36.1285933,-5.3474761
10,BS,1,24.7736546,-78.0000547
21,EC,1,-1.3397668,-79.3666965
20,DZ,1,28.0000272,2.9999825
0,AD,1,42.5407167,1.5732033
