job_title,count
Data Engineer,3162
Data Scientist,3015
Data Analyst,2189
Machine Learning Engineer,1542
Research Scientist,475
Analytics Engineer,403
Applied Scientist,383
Data Architect,369
Research Engineer,276
Business Intelligence Engineer,230
Data Science,205
Data Manager,188
ML Engineer,163
Business Intelligence Analyst,147
Machine Learning Scientist,124
Data Science Manager,114
Research Analyst,107
AI Engineer,105
BI Developer,84
Data Science Consultant,79
Data Specialist,78
Data Analytics Manager,56
Business Intelligence,50
Business Intelligence Developer,49
Head of Data,49
Data Modeler,46
BI Analyst,43
Decision Scientist,38
Director of Data Science,33
Machine Learning Infrastructure Engineer,33
Computer Vision Engineer,32
Data Product Manager,30
Data Developer,30
ETL Developer,28
AI Architect,28
Data Science Lead,26
Data Lead,24
Data Strategist,24
Data Quality Analyst,24
AI Scientist,24
Data Science Engineer,23
Data Operations Analyst,22
Machine Learning Researcher,21
MLOps Engineer,21
Data Integration Specialist,21
Business Data Analyst,21
Data Integration Engineer,20
